id,home_team_id,away_team_id,poss_home,poss_away,shots_ot_home,shots_total_home,shots_ot_away,shots_total_away,saves_home,saves_away,cards_home,cards_away
272335952982555,TEAM-A415D192,TEAM-BDDFCDFA,56,44,7,19,2,10,0,5,0,0
1350566588958,TEAM-550D05AB,TEAM-F53424F0,58,42,6,19,2,7,1,3,0,0
57962715965650,TEAM-0587F59E,TEAM-93330B41,38,62,4,9,8,13,5,4,0,0
183333492791392,TEAM-0FF29040,TEAM-0E077100,62,38,3,15,6,13,5,3,0,0
176082216387051,TEAM-27AC674B,TEAM-7273A887,61,39,5,10,0,6,0,3,0,0
167585334666101,TEAM-3E37DB98,TEAM-782246EA,38,62,3,14,1,10,1,2,0,0
217440347695720,TEAM-7C631724,TEAM-550D05AB,38,62,5,17,8,16,3,2,0,0
73071948011060,TEAM-0587F59E,TEAM-F53424F0,44,56,3,14,3,7,3,2,0,0
180603293315389,TEAM-A4EC0F45,TEAM-51EA86E0,58,42,6,11,4,8,4,3,0,0
2981099111893,TEAM-BDDFCDFA,TEAM-B2118D2C,48,52,3,11,1,4,1,2,0,0
226253330782479,TEAM-D069E7F8,TEAM-A415D192,37,64,2,9,2,6,2,1,0,0
248180254415866,TEAM-93330B41,TEAM-720795A0,58,42,7,23,5,7,3,7,0,0
271746510263835,TEAM-839B22B8,TEAM-1C981597,41,59,6,14,5,11,4,4,0,0
22708260528459,TEAM-782246EA,TEAM-51EA86E0,47,53,4,9,3,14,1,3,0,0
42666257678967,TEAM-F53424F0,TEAM-BDDFCDFA,46,54,6,10,2,13,1,4,0,0
239227505105338,TEAM-0E077100,TEAM-A4EC0F45,42,58,8,15,0,9,0,5,0,0
132554873973078,TEAM-550D05AB,TEAM-839B22B8,80,20,7,24,2,3,2,5,0,0
176960838690839,TEAM-7273A887,TEAM-D069E7F8,56,44,1,11,4,6,3,1,0,0
39897857430038,TEAM-B2118D2C,TEAM-0FF29040,56,44,7,13,1,4,1,3,0,0
279785200613578,TEAM-720795A0,TEAM-0587F59E,50,50,2,5,2,14,1,0,0,0
245703247296334,TEAM-3E37DB98,TEAM-93330B41,52,48,2,6,6,13,4,1,0,0
166177493963192,TEAM-A415D192,TEAM-7C631724,59,41,7,23,6,13,6,7,0,0
192878076068502,TEAM-BDDFCDFA,TEAM-0E077100,71,29,2,17,2,4,1,1,0,0
74680842636688,TEAM-0FF29040,TEAM-720795A0,56,44,3,10,2,6,2,3,0,0
