match_id,team_id,side,possession,shots_on_target,shots_total,saves,cards
49912487743273,TEAM-27AC674B,AWAY,45,33,3,100,0
102381573900005,TEAM-0587F59E,HOME,48,7,21,2,0
102381573900005,TEAM-0FF29040,AWAY,52,50,2,100,0
14363514735660,TEAM-A415D192,HOME,46,2,13,5,0
14363514735660,TEAM-93330B41,AWAY,55,24,5,100,0
171498132861949,TEAM-0E077100,HOME,39,4,6,2,0
171498132861949,TEAM-7273A887,AWAY,61,21,3,50,0
71824464063421,TEAM-BDDFCDFA,HOME,43,4,17,1,0
71824464063421,TEAM-7C631724,AWAY,57,22,2,75,0
112411683314944,TEAM-720795A0,HOME,39,3,5,5,0
112411683314944,TEAM-550D05AB,AWAY,62,43,9,33,0
6362656669454,TEAM-BDDFCDFA,HOME,60,3,14,0,0
6362656669454,TEAM-1C981597,AWAY,41,0,0,66,0
184983825241068,TEAM-720795A0,AWAY,49,57,4,100,0
149440693544582,TEAM-550D05AB,HOME,68,7,19,2,0
149440693544582,TEAM-0587F59E,AWAY,32,15,2,42,0
42506875124295,TEAM-839B22B8,HOME,46,4,14,6,0
42506875124295,TEAM-782246EA,AWAY,54,47,9,100,0
141493924351016,TEAM-27AC674B,HOME,58,7,14,2,0
141493924351016,TEAM-0E077100,AWAY,42,33,3,71,0
240600018970803,TEAM-0FF29040,HOME,39,3,8,2,0
240600018970803,TEAM-A415D192,AWAY,61,27,3,66,0
243786207784554,TEAM-7C631724,HOME,54,7,23,3,0
243786207784554,TEAM-51EA86E0,AWAY,46,36,4,85,0
19529544917174,TEAM-7273A887,HOME,41,1,9,6,0
167073112899369,TEAM-A4EC0F45,HOME,49,6,15,5,0
167073112899369,TEAM-93330B41,AWAY,52,35,7,66,0
24440480462873,TEAM-D069E7F8,HOME,33,5,8,5,0
24440480462873,TEAM-B2118D2C,AWAY,67,27,6,60,0
246618020730085,TEAM-7273A887,HOME,34,6,15,4,0
246618020730085,TEAM-A4EC0F45,AWAY,67,44,4,66,0
188728039961764,TEAM-0E077100,HOME,53,4,7,0,0
188728039961764,TEAM-839B22B8,AWAY,48,14,2,50,0
36398422825622,TEAM-550D05AB,HOME,69,6,18,1,0
137057036007683,TEAM-1C981597,HOME,56,4,11,1,0
137057036007683,TEAM-0587F59E,AWAY,44,29,4,100,0
207872139391536,TEAM-0FF29040,AWAY,48,8,1,75,0
189167058479105,TEAM-782246EA,HOME,60,7,18,1,0
189167058479105,TEAM-27AC674B,AWAY,40,50,5,71,0
251107807545272,TEAM-B2118D2C,HOME,65,3,9,2,0
251107807545272,TEAM-7C631724,AWAY,35,44,4,66,0
125140908145739,TEAM-720795A0,HOME,60,4,11,1,0
125140908145739,TEAM-D069E7F8,AWAY,40,22,2,100,0
13210013621380,TEAM-51EA86E0,HOME,40,4,10,4,0
13210013621380,TEAM-93330B41,AWAY,60,16,4,75,0
272335952982555,TEAM-A415D192,HOME,56,7,19,0,0
272335952982555,TEAM-BDDFCDFA,AWAY,44,20,2,71,0
1350566588958,TEAM-550D05AB,HOME,58,6,19,1,0
57962715965650,TEAM-0587F59E,HOME,38,4,9,5,0
57962715965650,TEAM-93330B41,AWAY,62,62,8,100,0
183333492791392,TEAM-0FF29040,HOME,62,3,15,5,0
183333492791392,TEAM-0E077100,AWAY,38,46,6,100,0
176082216387051,TEAM-27AC674B,HOME,61,5,10,0,0
176082216387051,TEAM-7273A887,AWAY,39,0,0,60,0
167585334666101,TEAM-782246EA,AWAY,62,10,1,66,0
217440347695720,TEAM-7C631724,HOME,38,5,17,3,0
217440347695720,TEAM-550D05AB,AWAY,62,50,8,40,0
73071948011060,TEAM-0587F59E,HOME,44,3,14,3,0
